"ID";"wildsoort";"afschotjaar";"afschot_datum";"provincie";"geslacht.MF";"leeftijdscategorie_MF";"ontweid_gewicht";"aantal_embryos_onbekend";"aantal_embryos";"onderkaaklengte_links";"onderkaaklengte_rechts";"doodsoorzaak";"leeftijd_maanden";"lengte_mm";"Leeftijdscategorie_onderkaak"
179;"Ree";2017;"2017-03-03";"Antwerpen";"Vrouwelijk";"Jongvolwassen";14,5;FALSE;0;152;NA;"afschot";NA;NA;"Niet ingezameld"
180;"Ree";2016;"2016-03-03";"Limburg";"Vrouwelijk";"Kits";12;FALSE;0;138;138;"afschot";NA;NA;"Niet ingezameld"
181;"Ree";2016;"2016-03-26";"Limburg";"Vrouwelijk";"Kits";9;TRUE;NA;138;140;"afschot";9;139;"Kits"
182;"Wild zwijn";2013;"2013-07-19";"Limburg";"Mannelijk";"Overloper";48;NA;NA;NA;NA;"afschot";17;NA;"Adult"
183;"Ree";2017;"2017-02-10";"Antwerpen";"Mannelijk";"Kits";11;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
184;"Wild zwijn";2011;"2011-03-18";"Limburg";"Mannelijk";"Frisling";NA;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
185;"Ree";2017;"2017-03-31";"Limburg";"Vrouwelijk";"Jongvolwassen";13;FALSE;1;162;NA;"afschot";NA;NA;"Niet ingezameld"
186;"Ree";2015;"2015-09-10";"Antwerpen";"Mannelijk";"Volwassen";17,4;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
187;"Ree";2014;"2014-02-16";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";17;FALSE;1;150;150;"afschot";NA;NA;"Niet ingezameld"
188;"Ree";2014;"2014-03-02";"Antwerpen";"Mannelijk";"Kits";11,1;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
189;"Wild zwijn";2017;"2017-02-25";"Limburg";"Vrouwelijk";"Volwassen";65;FALSE;6;NA;NA;"afschot";NA;NA;"Niet ingezameld"
190;"Ree";2015;"2015-01-25";"Limburg";NA;"Kits";8,2;FALSE;NA;135;135;"afschot";NA;NA;"Niet ingezameld"
191;"Wild zwijn";2016;"2016-12-15";"Antwerpen";"Mannelijk";"Frisling";39;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
192;"Ree";2016;"2016-07-26";"Oost-Vlaanderen";"Mannelijk";"Volwassen";17,5;TRUE;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
193;"Ree";2016;"2016-02-08";"Vlaams-Brabant";"Mannelijk";"Kits";14,8;TRUE;NA;142;142;"afschot";9;142;"Kits"
194;"Wild zwijn";2014;"2014-03-02";"Limburg";"Vrouwelijk";"Overloper";53;FALSE;5;NA;NA;"afschot";22;NA;"Overloper"
195;"Ree";2014;"2014-03-30";"Antwerpen";"Vrouwelijk";"Kits";8,7;FALSE;0;137;137;"afschot";NA;NA;"Niet ingezameld"
196;"Ree";2015;"2015-02-07";"Limburg";"Vrouwelijk";"Volwassen";15,3;TRUE;NA;156;158;"afschot";NA;NA;"Niet ingezameld"
197;"Ree";2017;"2017-03-17";"Antwerpen";"Mannelijk";"Kits";14,5;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
198;"Ree";2015;"2015-02-18";"Antwerpen";"Vrouwelijk";"Jongvolwassen";16;FALSE;1;160;160;"afschot";NA;NA;"Niet ingezameld"
199;"Ree";2015;"2015-02-27";"Antwerpen";"Mannelijk";"Kits";10;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
200;"Ree";2014;"2014-08-01";"Limburg";"Mannelijk";"Jongvolwassen";12,5;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
201;"Ree";2017;"2017-03-09";"Oost-Vlaanderen";"Mannelijk";"Kits";14;TRUE;NA;142;NA;"afschot";NA;NA;"Niet ingezameld"
202;"Ree";2014;"2014-08-13";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";15,9;TRUE;NA;149;149;"afschot";NA;NA;"Niet ingezameld"
203;"Ree";2014;"2014-01-12";"Limburg";"Vrouwelijk";"Kits";9,5;FALSE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
204;"Ree";2015;"2015-03-15";"Vlaams-Brabant";"Vrouwelijk";"Kits";12,5;FALSE;0;142;142;"afschot";NA;144;"Kits"
205;"Ree";2015;"2015-02-22";"Oost-Vlaanderen";"Vrouwelijk";"Kits";8,1;FALSE;0;142;142;"afschot";NA;NA;"Niet ingezameld"
206;"Ree";2017;"2017-03-26";"Limburg";"Vrouwelijk";"Volwassen";16;FALSE;2;152;NA;"afschot";NA;NA;"Niet ingezameld"
207;"Ree";2014;"2014-03-28";"Voeren";"Mannelijk";"Kits";14,5;NA;NA;149;146;"afschot";13;NA;"Jongvolwassen"
208;"Ree";2015;"2015-05-15";"Limburg";"Mannelijk";"Jongvolwassen";15;NA;NA;147;148;"afschot";NA;NA;"Niet ingezameld"
209;"Wild zwijn";2015;"2015-01-29";"West-Vlaanderen";"Mannelijk";"Frisling";15,6;TRUE;NA;NA;NA;"afschot";5;NA;"Frisling"
210;"Ree";2015;"2015-08-21";"Vlaams-Brabant";"Mannelijk";"Volwassen";18,5;TRUE;NA;155;154;"afschot";NA;NA;"Niet ingezameld"
211;"Wild zwijn";2012;"2012-07-10";"Limburg";"Vrouwelijk";"Frisling";15;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
212;"Wild zwijn";2012;"2012-11-03";"Limburg";"Vrouwelijk";"Frisling";40;NA;NA;NA;NA;"afschot";7;NA;"Overloper"
213;"Ree";2015;"2015-02-27";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";15;FALSE;1;151;151;"afschot";NA;NA;"Niet ingezameld"
214;"Ree";2015;"2015-09-10";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";15,2;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
215;"Ree";2016;"2016-01-28";"Oost-Vlaanderen";"Vrouwelijk";"Kits";12;FALSE;0;134;134;"afschot";NA;NA;"Niet ingezameld"
216;"Ree";2016;"2016-03-08";"Limburg";"Vrouwelijk";"Kits";10,7;FALSE;0;136;136;"afschot";11;138;"Kits"
217;"Ree";2015;"2015-02-13";"Limburg";"Vrouwelijk";"Jongvolwassen";15;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
218;"Ree";2017;"2017-02-05";"Limburg";"Vrouwelijk";"Kits";8,7;FALSE;0;145;NA;"afschot";NA;NA;"Niet ingezameld"
219;"Ree";2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";25;NA;"Adult"
220;"Ree";2014;"2014-05-03";"Antwerpen";"Mannelijk";"Jongvolwassen";13,5;TRUE;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
221;"Ree";2017;"2017-03-19";"Vlaams-Brabant";"Vrouwelijk";"Kits";12,1;FALSE;0;148;NA;"afschot";NA;NA;"Niet ingezameld"
222;"Wild zwijn";2013;"2013-03-17";"Voeren";"Mannelijk";"Overloper";34;NA;NA;NA;NA;"afschot";9;NA;"Overloper"
223;"Ree";2015;"2015-03-03";"Antwerpen";"Vrouwelijk";"Kits";11;FALSE;0;146;146;"afschot";NA;143;"Kits"
224;"Ree";2015;"2015-07-23";"Vlaams-Brabant";"Mannelijk";"Volwassen";18,8;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
225;"Wild zwijn";2015;"2015-12-31";"Antwerpen";"Mannelijk";"Frisling";40;TRUE;NA;NA;NA;"afschot";7;NA;"Frisling"
226;"Ree";2015;"2015-02-12";"Limburg";"Vrouwelijk";"Jongvolwassen";15,5;FALSE;1;154;154;"afschot";19;149;"Jongvolwassen"
227;"Ree";2014;"2014-06-15";"Limburg";"Mannelijk";"Jongvolwassen";14;TRUE;NA;170;170;"afschot";NA;NA;"Niet ingezameld"
228;"Ree";2015;"2015-05-02";"Oost-Vlaanderen";"Mannelijk";"Volwassen";19;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
229;"Ree";2015;"2015-07-31";"Antwerpen";"Mannelijk";"Volwassen";17,5;TRUE;NA;154;NA;"afschot";NA;NA;"Niet ingezameld"
230;"Ree";2014;"2014-01-11";"Antwerpen";"Vrouwelijk";"Jongvolwassen";14;TRUE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
231;"Ree";2014;"2014-05-23";"Limburg";"Mannelijk";"Volwassen";22;NA;NA;180;190;"afschot";NA;NA;"Niet ingezameld"
232;"Ree";2017;"2017-02-06";"Antwerpen";"Mannelijk";"Kits";9;TRUE;NA;139;NA;"afschot";NA;NA;"Niet ingezameld"
233;"Ree";2016;"2016-07-16";"Antwerpen";"Mannelijk";"Volwassen";16,5;TRUE;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
234;"Ree";2016;"2016-03-29";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";19,3;FALSE;2;150;NA;"afschot";19;149;"Jongvolwassen"
235;"Ree";2015;"2015-02-21";"Antwerpen";"Mannelijk";"Kits";10;TRUE;NA;144;144;"afschot";NA;NA;"Niet ingezameld"
236;"Ree";2016;"2016-02-27";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";18,5;FALSE;2;160;160;"afschot";34;159;"Adult"
237;"Ree";2016;"2016-09-04";"Voeren";"Mannelijk";"Volwassen";20;TRUE;NA;176;171;"afschot";NA;NA;"Niet ingezameld"
238;"Ree";2016;"2016-08-01";"Antwerpen";"Mannelijk";"Volwassen";19;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
239;"Ree";2016;"2016-09-01";"Oost-Vlaanderen";"Mannelijk";"Jongvolwassen";14,2;TRUE;NA;148;147;"afschot";NA;NA;"Niet ingezameld"
240;"Ree";2015;"2015-09-06";"Vlaams-Brabant";"Mannelijk";"Volwassen";15,5;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
241;"Ree";2016;"2016-03-26";"Limburg";"Vrouwelijk";"Volwassen";16,5;FALSE;2;152;151;"afschot";58;154;"Adult"
242;"Wild zwijn";2013;"2013-10-20";"Limburg";"Mannelijk";"Overloper";22;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
243;"Wild zwijn";2017;"2017-04-26";"West-Vlaanderen";"Vrouwelijk";"Frisling";11;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
244;"Ree";2015;"2015-08-30";"Vlaams-Brabant";"Mannelijk";"Volwassen";19;TRUE;NA;150;155;"afschot";NA;NA;"Niet ingezameld"
245;"Ree";2016;"2016-01-30";"West-Vlaanderen";"Mannelijk";"Kits";11;TRUE;NA;129;129;"afschot";NA;NA;"Niet ingezameld"
246;"Ree";2017;"2017-03-23";"Limburg";"Vrouwelijk";"Volwassen";19;FALSE;1;154;NA;"afschot";NA;NA;"Niet ingezameld"
247;"Ree";2014;"2014-02-16";"Antwerpen";"Mannelijk";"Kits";13;NA;NA;139;139;"afschot";NA;NA;"Niet ingezameld"
248;"Ree";2014;"2014-07-28";"Vlaams-Brabant";"Mannelijk";"Volwassen";16,9;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
249;"Wild zwijn";2012;"2012-04-05";"Limburg";"Mannelijk";"Adult";40;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
250;"Ree";2014;"2014-03-23";"Limburg";"Vrouwelijk";"Kits";13;FALSE;NA;113;112;"afschot";NA;NA;"Niet ingezameld"
251;"Wild zwijn";2016;"2016-11-19";"Voeren";"Mannelijk";"Overloper";36;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
252;"Ree";2016;"2016-03-21";"Vlaams-Brabant";"Vrouwelijk";"Kits";12,5;FALSE;0;150;151;"afschot";11;152;"Kits"
253;"Wild zwijn";2014;"2014-11-30";"Limburg";"Vrouwelijk";"Frisling";31;TRUE;NA;NA;NA;"afschot";6;NA;"Frisling"
254;"Ree";2017;"2017-03-27";"Antwerpen";"Mannelijk";"Kits";8,5;TRUE;NA;139;NA;"afschot";NA;NA;"Niet ingezameld"
255;"Ree";2017;"2017-02-14";"Antwerpen";"Vrouwelijk";"Kits";12,1;FALSE;0;140;NA;"afschot";NA;NA;"Niet ingezameld"
256;"Ree";2014;"2014-03-23";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";12,5;TRUE;NA;156;156;"afschot";NA;NA;"Niet ingezameld"
257;"Ree";2014;"2014-05-13";"Limburg";"Mannelijk";"Volwassen";17;NA;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
258;"Ree";2016;"2016-03-21";"Antwerpen";"Vrouwelijk";"Volwassen";17,2;FALSE;1;153;153;"afschot";34;153;"Adult"
259;"Ree";2017;"2017-02-26";"West-Vlaanderen";"Mannelijk";"Kits";11,8;TRUE;NA;130;NA;"afschot";NA;NA;"Niet ingezameld"
260;"Ree";2014;"2014-02-18";"Antwerpen";"Mannelijk";"Kits";12;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
261;"Wild zwijn";2017;"2017-05-06";"Limburg";"Mannelijk";"Frisling";38;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
262;"Ree";2014;"2014-03-27";"Limburg";"Mannelijk";"Kits";12;NA;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
263;"Ree";2016;"2016-02-20";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";17,9;FALSE;2;157;158;"afschot";10;NA;"Kits"
264;"Ree";2014;"2014-05-16";"Antwerpen";"Mannelijk";"Volwassen";15,9;NA;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
265;"Ree";2015;"2015-02-27";"Limburg";"Mannelijk";"Kits";10;NA;NA;143;144;"afschot";NA;NA;"Niet ingezameld"
266;"Ree";2016;"2016-03-27";"Limburg";"Vrouwelijk";"Volwassen";16;FALSE;2;165;165;"afschot";46;158;"Adult"
267;"Ree";2017;"2017-02-03";"Limburg";"Mannelijk";"Kits";17;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
268;"Ree";2016;"2016-02-15";"Limburg";"Mannelijk";"Kits";12;TRUE;NA;145;145;"afschot";9;138;"Kits"
269;"Ree";2016;"2016-02-24";"Antwerpen";"Vrouwelijk";"Volwassen";18;FALSE;2;160;162;"afschot";34;152;"Adult"
270;"Ree";2014;"2014-02-22";"Limburg";NA;"Kits";11;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
271;"Ree";2014;"2014-02-17";"Limburg";"Vrouwelijk";"Kits";7,5;FALSE;NA;141;141;"afschot";NA;NA;"Niet ingezameld"
272;"Ree";2017;"2017-03-17";"Antwerpen";"Vrouwelijk";"Volwassen";17,6;FALSE;0;163;NA;"afschot";NA;NA;"Niet ingezameld"
273;"Wild zwijn";2012;"2012-06-02";"Limburg";"Vrouwelijk";"Adult";32;NA;NA;NA;NA;"afschot";14;NA;"Adult"
274;"Ree";2017;"2017-01-22";"Oost-Vlaanderen";"Vrouwelijk";"Kits";9,5;FALSE;NA;118;NA;"afschot";NA;NA;"Niet ingezameld"
275;"Wild zwijn";2014;"2014-11-10";"Voeren";"Vrouwelijk";"Frisling";28;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
276;"Ree";2014;"2014-03-01";"Antwerpen";"Mannelijk";"Kits";11;NA;NA;147;147;"afschot";NA;NA;"Niet ingezameld"
277;"Ree";2014;"2014-05-28";"Antwerpen";"Mannelijk";"Volwassen";17;TRUE;NA;165;165;"afschot";48;NA;"Adult"
278;"Wild zwijn";2015;"2015-01-25";"Limburg";"Mannelijk";"Frisling";22,2;NA;NA;NA;NA;"afschot";8;NA;"Frisling"
279;"Wild zwijn";2012;"2012-03-31";"Limburg";"Mannelijk";"Frisling";44;NA;NA;NA;NA;"afschot";11;NA;"Overloper"
280;"Ree";2016;"2016-08-25";"Vlaams-Brabant";"Mannelijk";"Volwassen";16;TRUE;NA;158;159;"afschot";NA;NA;"Niet ingezameld"
281;"Ree";2017;"2017-02-25";"Antwerpen";"Vrouwelijk";"Jongvolwassen";16,7;FALSE;1;157;NA;"afschot";NA;NA;"Niet ingezameld"
282;"Ree";2015;"2015-06-28";"Limburg";"Mannelijk";"Jongvolwassen";13;TRUE;NA;125;125;"afschot";NA;NA;"Niet ingezameld"
283;"Ree";2016;"2016-03-02";"Antwerpen";"Mannelijk";"Kits";11,5;TRUE;NA;130;130;"afschot";9;130;"Kits"
284;"Ree";2016;"2016-03-04";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";15;FALSE;0;120;NA;"afschot";NA;NA;"Niet ingezameld"
285;"Ree";2017;"2017-01-27";"Antwerpen";"Mannelijk";"Kits";11,8;TRUE;NA;138;NA;"afschot";NA;NA;"Niet ingezameld"
286;"Ree";2015;"2015-01-20";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";19,2;FALSE;2;157;157;"afschot";NA;NA;"Niet ingezameld"
287;"Ree";2014;"2014-03-15";"Limburg";"Vrouwelijk";"Kits";11;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
288;"Wild zwijn";2014;"2014-12-07";"Limburg";"Vrouwelijk";"Frisling";42;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
289;"Ree";2014;"2014-02-05";"Antwerpen";"Vrouwelijk";"Volwassen";18;FALSE;1;150;150;"afschot";NA;NA;"Niet ingezameld"
290;"Ree";2016;"2016-08-11";"Antwerpen";"Mannelijk";"Volwassen";19,5;TRUE;NA;162;162;"afschot";NA;NA;"Niet ingezameld"
291;"Ree";2016;"2016-05-04";"Limburg";"Mannelijk";"Volwassen";17,5;TRUE;NA;158;158;"afschot";NA;NA;"Niet ingezameld"
292;"Ree";2016;"2016-03-26";"Limburg";"Vrouwelijk";"Jongvolwassen";16,9;FALSE;1;160;160;"afschot";34;NA;"Adult"
293;"Ree";2016;"2016-05-04";"Antwerpen";"Mannelijk";"Jongvolwassen";18;TRUE;NA;152;NA;"afschot";NA;NA;"Niet ingezameld"
294;"Wild zwijn";2014;"2014-07-18";"Limburg";"Vrouwelijk";"Volwassen";56;FALSE;NA;NA;NA;"afschot";48;NA;"Adult"
295;"Ree";2014;"2014-08-30";"Antwerpen";"Mannelijk";"Volwassen";17,5;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
296;"Ree";2015;"2015-01-20";"Limburg";"Vrouwelijk";"Kits";8,5;FALSE;NA;142;144;"afschot";NA;NA;"Niet ingezameld"
297;"Ree";2015;"2015-05-04";"Antwerpen";"Mannelijk";"Volwassen";16,4;TRUE;NA;111;111;"afschot";25;157;"Adult"
298;"Ree";2017;"2017-03-09";"Limburg";"Vrouwelijk";"Jongvolwassen";12,5;FALSE;0;145;NA;"afschot";NA;NA;"Niet ingezameld"
299;"Ree";2014;"2014-03-11";"Antwerpen";NA;"Kits";13;FALSE;0;115;115;"afschot";NA;NA;"Niet ingezameld"
300;"Wild zwijn";2013;"2013-08-18";"Limburg";"Vrouwelijk";"Frisling";21;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
301;"Ree";2014;"2014-02-03";"Limburg";"Vrouwelijk";"Kits";7;TRUE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
302;"Ree";2016;"2016-03-21";"Antwerpen";"Vrouwelijk";"Kits";11,1;FALSE;0;145;145;"afschot";10;144;"Kits"
303;"Ree";2014;"2014-03-15";"Limburg";NA;"Kits";16;FALSE;NA;153;155;"afschot";NA;NA;"Niet ingezameld"
304;"Wild zwijn";2014;"2014-07-21";"Limburg";"Mannelijk";"Volwassen";67;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
305;"Ree";2016;"2016-03-04";"Antwerpen";"Vrouwelijk";"Volwassen";16;FALSE;1;158;155;"afschot";NA;NA;"Niet ingezameld"
306;"Wild zwijn";2017;"2017-03-04";"Limburg";"Mannelijk";"Overloper";57;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
307;"Ree";2014;"2014-03-08";"Limburg";"Vrouwelijk";"Kits";11,5;FALSE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
308;"Ree";2017;"2017-03-05";"Antwerpen";"Vrouwelijk";"Kits";13,5;FALSE;0;144;NA;"afschot";NA;NA;"Niet ingezameld"
309;"Ree";2017;"2017-02-06";"Limburg";"Vrouwelijk";"Jongvolwassen";16;FALSE;1;160;NA;"afschot";NA;NA;"Niet ingezameld"
310;"Ree";2017;"2017-03-03";"Limburg";"Mannelijk";"Kits";12;TRUE;NA;146;NA;"afschot";NA;NA;"Niet ingezameld"
311;"Ree";2016;"2016-03-22";"Limburg";"Vrouwelijk";"Kits";11;FALSE;0;150;150;"afschot";9;148;"Kits"
312;"Ree";2015;"2015-02-22";"Limburg";"Vrouwelijk";"Kits";11,5;FALSE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
313;"Ree";2015;"2015-05-01";"Limburg";"Mannelijk";NA;17;NA;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
314;"Wild zwijn";2017;"2017-01-07";"Antwerpen";"Mannelijk";"Overloper";56,7;TRUE;NA;NA;NA;"afschot";NA;NA;"Overloper"
315;"Ree";2016;"2016-02-03";NA;"Vrouwelijk";"Volwassen";17;FALSE;2;160;160;"afschot";58;160;"Adult"
316;"Ree";2015;"2015-03-14";"Limburg";"Mannelijk";"Kits";12,5;NA;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
317;"Ree";2015;"2015-02-03";"Limburg";"Mannelijk";"Kits";10;TRUE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
318;"Ree";2014;"2014-03-20";"Limburg";NA;"Kits";12;FALSE;NA;128;128;"afschot";NA;NA;"Niet ingezameld"
319;"Ree";2016;"2016-02-11";"Antwerpen";"Vrouwelijk";"Volwassen";15,5;FALSE;2;151;151;"afschot";34;149;"Adult"
320;"Wild zwijn";2010;"2010-01-22";"Voeren";"Mannelijk";"Adult";56;NA;NA;NA;NA;"afschot";17;NA;"Adult"
321;"Wild zwijn";2011;"2011-10-15";"Limburg";"Mannelijk";"Overloper";35;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
322;"Ree";2017;"2017-03-04";"Antwerpen";"Vrouwelijk";"Jongvolwassen";15;FALSE;1;145;NA;"afschot";NA;NA;"Niet ingezameld"
323;"Ree";2016;"2016-01-16";"Vlaams-Brabant";"Vrouwelijk";"Kits";12;FALSE;0;147;147;"afschot";19;147;"Jongvolwassen"
324;"Wild zwijn";2014;"2014-02-13";"Limburg";"Mannelijk";"Frisling";40;TRUE;NA;NA;NA;"afschot";10;NA;"Frisling"
325;"Wild zwijn";2016;"2016-03-28";"Limburg";"Mannelijk";"Overloper";51;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
326;"Ree";2015;"2015-09-14";"Vlaams-Brabant";"Mannelijk";"Volwassen";13,5;TRUE;NA;156;155;"afschot";NA;NA;"Niet ingezameld"
327;"Wild zwijn";2010;"2010-03-29";"Limburg";"Mannelijk";"Adult";46;NA;NA;NA;NA;"afschot";12;NA;"Overloper"
328;"Ree";2016;"2016-05-24";"Antwerpen";"Mannelijk";"Jongvolwassen";17,2;TRUE;NA;154;NA;"afschot";NA;NA;"Niet ingezameld"
329;"Ree";2015;"2015-02-12";"Vlaams-Brabant";"Mannelijk";"Kits";10,5;TRUE;NA;131;131;"afschot";NA;133;"Kits"
330;"Wild zwijn";2014;"2014-08-29";"Limburg";"Vrouwelijk";"Frisling";22;FALSE;NA;NA;NA;"afschot";5;NA;"Frisling"
331;"Ree";2015;"2015-03-04";"Vlaams-Brabant";"Vrouwelijk";"Kits";13,5;FALSE;0;142;142;"afschot";NA;143;"Kits"
332;"Ree";2014;"2014-08-11";"Oost-Vlaanderen";"Mannelijk";"Jongvolwassen";14,5;TRUE;NA;145;140;"afschot";NA;NA;"Niet ingezameld"
333;"Wild zwijn";2016;"2016-08-25";"Limburg";"Mannelijk";"Overloper";30;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
334;"Ree";2016;"2016-02-14";"Oost-Vlaanderen";"Vrouwelijk";"Kits";13,5;FALSE;0;143;142;"afschot";34;150;"Adult"
335;"Ree";2015;"2015-03-21";"Limburg";"Mannelijk";"Kits";6;TRUE;NA;135;135;"afschot";NA;NA;"Niet ingezameld"
336;"Ree";2014;"2014-08-07";"Vlaams-Brabant";"Mannelijk";"Volwassen";15;TRUE;NA;160;161;"afschot";NA;NA;"Niet ingezameld"
337;"Ree";2016;"2016-01-10";"Limburg";"Mannelijk";"Kits";10,1;TRUE;NA;135;135;"afschot";9;134;"Kits"
338;"Ree";2015;"2015-01-14";"Antwerpen";"Vrouwelijk";"Volwassen";17,6;FALSE;2;150;150;"afschot";NA;NA;"Niet ingezameld"
339;"Ree";2014;"2014-02-19";"Limburg";"Mannelijk";"Kits";10;NA;NA;142;142;"afschot";NA;NA;"Niet ingezameld"
340;"Ree";2017;"2017-02-05";"Voeren";"Vrouwelijk";"Kits";12;FALSE;0;136;NA;"afschot";NA;NA;"Niet ingezameld"
341;"Ree";2015;"2015-02-05";"Antwerpen";"Vrouwelijk";"Kits";11,5;FALSE;0;142;140;"afschot";NA;138;"Kits"
342;"Ree";2015;"2015-03-22";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";17,5;FALSE;2;163;163;"afschot";NA;NA;"Niet ingezameld"
343;"Ree";2014;"2014-02-28";"Antwerpen";"Mannelijk";"Kits";13,5;TRUE;NA;100;100;"afschot";11;147;"Kits"
344;"Wild zwijn";2017;"2017-01-20";"Limburg";"Vrouwelijk";"Frisling";26;FALSE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
345;"Ree";2016;"2016-02-04";"Antwerpen";"Vrouwelijk";"Kits";12,6;FALSE;0;147;147;"afschot";10;147;"Kits"
346;"Ree";2014;"2014-05-18";"Limburg";"Mannelijk";"Volwassen";13,5;NA;NA;135;143;"afschot";NA;NA;"Niet ingezameld"
347;"Ree";2014;"2014-02-01";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";17;FALSE;2;157;157;"afschot";NA;NA;"Niet ingezameld"
348;"Ree";2017;"2017-01-22";"Limburg";"Vrouwelijk";"Kits";14;FALSE;0;147;NA;"afschot";NA;NA;"Niet ingezameld"
349;"Ree";2015;"2015-01-20";"Limburg";"Vrouwelijk";"Kits";10;FALSE;0;140;140;"afschot";NA;NA;"Niet ingezameld"
350;"Wild zwijn";2014;"2014-06-18";"Limburg";"Vrouwelijk";"Overloper";35;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
351;"Ree";2014;"2014-05-19";"Antwerpen";"Mannelijk";"Jongvolwassen";16;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
352;"Ree";2016;"2016-03-31";"Limburg";"Vrouwelijk";"Kits";16;FALSE;0;145;145;"afschot";11;146;"Kits"
353;"Ree";2014;"2014-03-19";"Vlaams-Brabant";"Mannelijk";"Kits";13;TRUE;NA;138;138;"afschot";NA;NA;"Niet ingezameld"
354;"Wild zwijn";2014;"2014-11-06";"Voeren";"Onbekend";"Frisling";27;FALSE;NA;NA;NA;"afschot";5;NA;"Frisling"
355;"Ree";2015;"2015-07-27";"Limburg";"Mannelijk";"Volwassen";17,5;NA;NA;157;157;"afschot";NA;NA;"Niet ingezameld"
356;"Ree";2017;"2017-03-31";"Limburg";"Vrouwelijk";"Volwassen";13;FALSE;2;154;NA;"afschot";NA;NA;"Niet ingezameld"
357;"Wild zwijn";2010;"2010-05-23";"Limburg";"Vrouwelijk";"Frisling";5;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
